Nov 28 10:44:27.757 INFO: manager: 2.0.0
Nov 28 10:44:27.757 INFO: manager: Copyright (C) 2003-2022, Noriaki Ando and OpenRTM development team,
Nov 28 10:44:27.757 INFO: manager:   Intelligent Systems Research Institute, AIST,
Nov 28 10:44:27.757 INFO: manager: Copyright (C) 2022, Noriaki Ando and OpenRTM development team,
Nov 28 10:44:27.757 INFO: manager:   Industrial Cyber-Physical Research Center, AIST,
Nov 28 10:44:27.757 INFO: manager:   All right reserved.
Nov 28 10:44:27.757 INFO: manager: Manager starting.
Nov 28 10:44:27.757 INFO: manager: Starting local logging.
Nov 28 10:44:27.758 WARNING: NamingOnCorba: No endpoint for the CORBA naming service (localhost) was found.
Nov 28 10:44:27.758 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Nov 28 10:44:27.758 INFO: ManagerServant: Named manager reference (INS) was successfully created.
Nov 28 10:44:27.759 WARNING: ManagerServant: Master manager not found
Nov 28 10:44:27.759 INFO: LocalServiceAdmin: All the local services are enabled.
Nov 28 10:44:27.759 INFO: ec_base: setRate(1000000.000000) done
Nov 28 10:44:27.759 INFO: ec_base: setRate(1000.000000) done
Nov 28 10:44:27.759 INFO: RTMtoROS0: 1 execution context was created.
Nov 28 10:44:27.762 INFO: RTMtoROS0: Initial active configuration set is default.
Nov 28 10:44:37.771 INFO: ManagerServant: Master manager not found
Nov 28 10:44:47.780 INFO: ManagerServant: Master manager not found
Nov 28 10:44:57.796 INFO: ManagerServant: Master manager not found
Nov 28 10:45:07.803 INFO: ManagerServant: Master manager not found
Nov 28 10:45:17.812 INFO: ManagerServant: Master manager not found
Nov 28 10:45:27.820 INFO: ManagerServant: Master manager not found
Nov 28 10:45:37.827 INFO: ManagerServant: Master manager not found
Nov 28 10:45:47.836 INFO: ManagerServant: Master manager not found
Nov 28 10:45:57.843 INFO: ManagerServant: Master manager not found
Nov 28 10:46:07.849 INFO: ManagerServant: Master manager not found
Nov 28 10:46:17.857 INFO: ManagerServant: Master manager not found
Nov 28 10:46:21.975 WARNING: SdoServiceAdmin: No available SDO service in the factory: 
Nov 28 10:46:27.864 INFO: ManagerServant: Master manager not found
Nov 28 10:46:37.871 INFO: ManagerServant: Master manager not found
Nov 28 10:46:47.878 INFO: ManagerServant: Master manager not found
Nov 28 10:46:57.886 INFO: ManagerServant: Master manager not found
